lag_min,Bx,By_GSE,Bz_GSE
-50,8.105515480041504,6.514914512634277,9.531381607055664
-49,8.083117485046387,6.45054292678833,9.525114059448242
-48,8.052940368652344,6.419406414031982,9.500828742980957
-47,8.037803649902344,6.377957820892334,9.459824562072754
-46,8.016019821166992,6.343563079833984,9.436017036437988
-45,7.984373092651367,6.264403343200684,9.414066314697266
-44,7.93916654586792,6.203975677490234,9.395990371704102
-43,7.909815788269043,6.1300177574157715,9.394700050354004
-42,7.8788886070251465,6.078498840332031,9.416520118713379
-41,7.8587188720703125,6.008493900299072,9.403266906738281
-40,7.8476338386535645,5.9452805519104,9.402666091918945
-39,7.830419540405273,5.871312141418457,9.402850151062012
-38,7.778284072875977,5.819177150726318,9.383818626403809
-37,7.7093658447265625,5.8002777099609375,9.341646194458008
-36,7.684057712554932,5.791922092437744,9.29675006866455
-35,7.663395404815674,5.752756595611572,9.287718772888184
-34,7.6436448097229,5.7093706130981445,9.240880966186523
-33,7.641948699951172,5.724417686462402,9.192604064941406
-32,7.6370649337768555,5.7057294845581055,9.143084526062012
-31,7.595294952392578,5.6689605712890625,9.081542015075684
-30,7.555973529815674,5.662309646606445,9.00269889831543
-29,7.512824535369873,5.623158931732178,8.931885719299316
-28,7.4813666343688965,5.585875034332275,8.85705852508545
-27,7.446013450622559,5.560618877410889,8.751893997192383
-26,7.375884532928467,5.53977632522583,8.631891250610352
-25,7.3189005851745605,5.540044784545898,8.519634246826172
-24,7.259460926055908,5.5454182624816895,8.375960350036621
-23,7.185107707977295,5.5510711669921875,8.235529899597168
-22,7.142965793609619,5.549465656280518,8.108277320861816
-21,7.124419212341309,5.530011177062988,7.984429836273193
-20,7.127444267272949,5.565553665161133,7.850096225738525
-19,7.138893127441406,5.572360038757324,7.740362167358398
-18,7.171217918395996,5.53658390045166,7.662443161010742
-17,7.183579921722412,5.512330055236816,7.524190902709961
-16,7.185576915740967,5.540126323699951,7.370358467102051
-15,7.200010299682617,5.588601589202881,7.278084754943848
-14,7.218303680419922,5.648774147033691,7.192684650421143
-13,7.229968547821045,5.6863603591918945,7.114331245422363
-12,7.2371721267700195,5.725977897644043,7.036470413208008
-11,7.241628646850586,5.723322868347168,6.953923225402832
-10,7.244422435760498,5.730865001678467,6.911496162414551
-9,7.262274265289307,5.677842140197754,6.912664413452148
-8,7.237881660461426,5.6430816650390625,6.935627460479736
-7,7.219668865203857,5.613281726837158,6.9157280921936035
-6,7.214600563049316,5.534917831420898,6.908633708953857
-5,7.239944934844971,5.458306789398193,6.889712333679199
-4,7.222891330718994,5.419421195983887,6.837304592132568
-3,7.184330463409424,5.39116096496582,6.772840976715088
-2,7.156301498413086,5.32515811920166,6.727438449859619
-1,7.114527225494385,5.289825439453125,6.698784351348877
0,7.07074499130249,5.280127048492432,6.6460795402526855
1,6.9445481300354,5.291679382324219,6.56226110458374
2,6.817814826965332,5.345718860626221,6.502186298370361
3,6.711827754974365,5.405581474304199,6.428823947906494
4,6.593483924865723,5.46460485458374,6.381814956665039
5,6.506745338439941,5.4840617179870605,6.339858531951904
6,6.454226970672607,5.481895923614502,6.29491662979126
7,6.384878158569336,5.464844226837158,6.255918502807617
8,6.302056312561035,5.44877290725708,6.242899417877197
9,6.243058204650879,5.418095111846924,6.225478649139404
10,6.188775539398193,5.372595310211182,6.171412467956543
11,6.099405765533447,5.3712968826293945,6.082796573638916
12,6.022038459777832,5.365211486816406,6.024730205535889
13,5.9883551597595215,5.356014251708984,5.972771167755127
14,5.950586795806885,5.348097801208496,5.962897300720215
15,5.929832935333252,5.322630882263184,5.9409050941467285
16,5.933814525604248,5.285212993621826,5.924535751342773
17,5.959286212921143,5.203475475311279,5.884982585906982
18,5.97222375869751,5.144580841064453,5.8639068603515625
19,5.964197635650635,5.040340900421143,5.820907115936279
20,5.944065093994141,4.927097320556641,5.7506422996521
21,5.882363319396973,4.922506809234619,5.703591823577881
22,5.832005977630615,4.923632621765137,5.658905029296875
23,5.76591157913208,4.879738807678223,5.627677917480469
24,5.712283134460449,4.822172164916992,5.558655261993408
25,5.664264678955078,4.711653232574463,5.479357719421387
26,5.620671272277832,4.592726230621338,5.399589538574219
27,5.6112775802612305,4.511020660400391,5.365865707397461
28,5.6002678871154785,4.45851993560791,5.3552350997924805
29,5.601652145385742,4.399765491485596,5.321052551269531
30,5.602721214294434,4.343503952026367,5.249602317810059
31,5.6031880378723145,4.310263633728027,5.181430816650391
32,5.5995073318481445,4.257312297821045,5.096017360687256
33,5.591032981872559,4.201156139373779,5.004006862640381
34,5.579407691955566,4.136203765869141,4.882121562957764
35,5.53326416015625,4.105014801025391,4.757458209991455
36,5.48729944229126,4.031421184539795,4.616028308868408
37,5.466397285461426,3.9135711193084717,4.460404396057129
38,5.4525065422058105,3.8011231422424316,4.325038433074951
39,5.4487104415893555,3.725198984146118,4.193943977355957
40,5.43610143661499,3.6417076587677,4.062722206115723
41,5.405292510986328,3.6124937534332275,3.9283876419067383
42,5.35071325302124,3.609640121459961,3.7850899696350098
43,5.336226940155029,3.596585750579834,3.6278045177459717
44,5.344418525695801,3.6746180057525635,3.5119636058807373
45,5.359218120574951,3.770453929901123,3.5014498233795166
46,5.378401279449463,3.8253836631774902,3.4908831119537354
47,5.395419597625732,3.894749879837036,3.4824631214141846
48,5.412501335144043,3.9462883472442627,3.46514892578125
49,5.414646625518799,4.039557456970215,3.474714756011963
50,5.415191650390625,4.130839824676514,3.4958887100219727
51,5.435390949249268,4.175705909729004,3.5532937049865723
52,5.4882330894470215,4.23311185836792,3.6348893642425537
53,5.55006217956543,4.278300762176514,3.6898751258850098
54,5.633057594299316,4.310337543487549,3.7039599418640137
55,5.711789131164551,4.355964183807373,3.7695887088775635
56,5.7841267585754395,4.446164131164551,3.879814386367798
57,5.877147197723389,4.534904479980469,3.967318058013916
58,5.990365982055664,4.591250419616699,4.051672458648682
59,6.099921703338623,4.688528060913086,4.134209156036377
60,6.248785495758057,4.741106033325195,4.242300033569336
61,6.378446578979492,4.772343158721924,4.309752464294434
62,6.4991912841796875,4.819350242614746,4.402677536010742
63,6.638799667358398,4.889113426208496,4.51162052154541
64,6.765203475952148,4.955327987670898,4.623330116271973
65,6.889587879180908,5.024631977081299,4.7453389167785645
66,7.013216972351074,5.086553573608398,4.872005939483643
67,7.114894390106201,5.147381782531738,4.941201210021973
68,7.188406944274902,5.17409086227417,4.990410804748535
69,7.259429454803467,5.192148685455322,5.034083366394043
70,7.298813343048096,5.237215042114258,5.099240303039551
71,7.324911594390869,5.262477874755859,5.187315464019775
72,7.348419189453125,5.305724620819092,5.23696756362915
73,7.393945217132568,5.35964298248291,5.309331893920898
74,7.448754787445068,5.4329962730407715,5.397704601287842
75,7.524881362915039,5.513169765472412,5.491789817810059
76,7.602150917053223,5.606457710266113,5.600388526916504
77,7.667348384857178,5.706967353820801,5.741713047027588
78,7.728892803192139,5.838831901550293,5.860187530517578
79,7.817051410675049,5.91616153717041,5.988944053649902
80,7.877981185913086,5.953647613525391,6.113579750061035
81,7.930117130279541,5.9656662940979,6.24478816986084
82,7.970162868499756,5.987860679626465,6.351433277130127
83,8.029716491699219,6.029269695281982,6.418039321899414
84,8.073677062988281,6.037491798400879,6.494571208953857
85,8.111536026000977,6.053829193115234,6.578770637512207
86,8.134965896606445,6.07882022857666,6.657765865325928
87,8.167160034179688,6.086820125579834,6.706835746765137
88,8.193333625793457,6.106887340545654,6.782174587249756
89,8.20537281036377,6.055466651916504,6.816951274871826
90,8.245631217956543,6.009537696838379,6.831319332122803
91,8.246574401855469,6.003122806549072,6.8741655349731445
92,8.235173225402832,6.004583358764648,6.939733982086182
93,8.233077049255371,6.001633167266846,7.025490760803223
94,8.267578125,5.974753379821777,7.081356525421143
95,8.300073623657227,5.909733295440674,7.128458499908447
96,8.307393074035645,5.815820693969727,7.182060718536377
97,8.314674377441406,5.768146991729736,7.234257221221924
98,8.319257736206055,5.720343589782715,7.278651237487793
99,8.330863952636719,5.67094087600708,7.310911655426025
100,8.350776672363281,5.603778839111328,7.3660054206848145
101,8.351627349853516,5.522711753845215,7.477972507476807
102,8.373567581176758,5.4423370361328125,7.602199077606201
103,8.379657745361328,5.345822334289551,7.729889392852783
104,8.402962684631348,5.2886810302734375,7.840310096740723
